audience,cost,description,features,icon,name,platform,url
overlord parent,$15/month,"The product is a physical router that ""plugs in between your WiFi Router and your internet provider's modem"".",biglist dns filtering gateway hardware network,"",Cedar Creek Filtering,"",https://www.cedarcreek.co/filtering/personal
"","","","","",CensureBlock,browser,https://addons.mozilla.org/en-US/firefox/addon/censureblock/
"","","","","",Cenzor,"",""
parent,$30,"",filtering monitoring timer,"",Child Control,windows,http://salfeld.com/software/parentalcontrol/index.html
parent,free,"","","",Chrome supervised profile,chrome,https://support.google.com/chrome/answer/3463947
"","","","","",Circle,network,https://meetcircle.com/
parent general addict,$3-$5/month,"","","",Clean Internet,android windows,http://www.cleaninter.net/
overlord,"","","","",Cleanfeed,"",""
overlord,$108/year to $588/year,"Aimed at businesses, governments, and schools, ClearOS is designed to be installed on a router.  clearOS sells switches with ClearOS installed and calls them ""appliances"".  It is very similar to DansGuardian.",filtering gateway more network,"",clearOS,network,http://www.clearcenter.com/
"","","ClearPlay is a service that filters out violence and sexual content from content purchased or rented on GooglePlay, or from special Blu-ray or DVD players.","","",ClearPlay,"",https://www.clearplay.com/
addict slacker,free to $19,Cold Turkey is a relatively simple opensource filter designed to support self-control by allowing the end-user to configure times of the week during which to block access to certain websites.,dns filtering timer,"",Cold Turkey,windows,http://getcoldturkey.com/
parent,"","","","",Computer Cop,"",http://www.computercop.com/
parent,"","",timer,"",ComputerTime,"",http://www.softwaretime.com/computertime/
"",$20,"",pixelation,"",Content Cleaner,"",http://www.contentpurity.com/
overlord,$40,"",filtering,"",Content Protect Pro,android macosx network windows,https://www.contentwatch.com/products/contentprotect_pro
parent general,"","",filtering monitoring spying,"",ContentBarrier,macosx,http://www.intego.com/manuals/en/cb/1-welcome-to-contentbarrier.html
overlord,$40/year,ContentProtect is Net Nanny for businesses.,"","",ContentProtect,android windows,""
addict parent general,$11/month to $15/month,CovenantEyes has a beautiful website with a lot of articles about pornography.  The site seems to target porn addicts and concerned parents with roughly equal emphasis.  The focus (and strength) of the software is accountability rather than filtering.,accountability filtering monitoring spying timer,http://pbs.twimg.com/profile_images/468823054357757953/jY1TV1Uu_400x400.png,CovenantEyes,android ios macosx windows,http://www.covenanteyes.com/
overlord,"$500 for 5 computers, variable","The suite includes Includes AccessPatrol, BrowseControl, BrowseReporter, and enPowerManager.  The products are sold to employers who want to control and monitor employees.",biglist filtering,"",CurrentWare Suite,"",http://www.currentware.com/
"","",CustomBlocker filters any element on any web site with any conditionwith XPath and RegExp.,"","",CustomBlocker,"",https://chrome.google.com/webstore/detail/elnfhbjabfcepfnaeoehffgmifcfjlha
overlord parent,$40/year,"",filtering games monitoring timer,"",CyberPatrol Parental Controls,windows,https://www.cyberpatrol.com/home/
parent,"","","","",CyberSentinel,"",http://www.cybersentinel.com/
"","","","","",Cybersieve,"",""
parent,"","","","",CyberSitter,"",http://www.cybersitter.com/
overlord parent general,$80 for Simple DNS + $39/year,"Designed to be used with the Simple DNS Plus (a DNS server), it is similar in approach to OpenDNS and NX Filter.  The 5 CYBERsitter lists are adult, malicious, k12, k12fun, and social networking.",biglist filtering gateway monitoring,"",Cybersitterlists,network,http://www.cybersitterlists.com/
overlord,"","","","",Cyclope-Series,"",http://www.cyclope-series.com/
overlord,free,"DansGuardian is/was a content filtering proxy that works in conjunction with another caching proxy such as Squid or Oops. It seems to be targeted primarily toward filtering internet content for organizations such as schools.  A guide to setting it up for personal use can be found <a href=""http://www.zephyrsoft.org/files/linux-filtering-monitoring-howto.pdf"">here</a>.  The last release was in 2013.  See E2guardian.",abandoned filtering gateway historic more password proxy ratings smarts,http://dansguardian.org/images/left.jpg,DansGuardian,linux macosx network,http://dansguardian.org/
"","","","","",Davide,"",""
general,"","","","",Disconnect,chrome,https://disconnect.me
"","",Distractus is a simple Firefox addon that allows the user to whitelist and blacklist sites using regular expression matching.,"","",Distractus,browser,https://addons.mozilla.org/en-US/firefox/addon/distractus/
parent overlord general addict,$8/month,"DNSthingy is for Canadians, users of Clear OS, or those willing to flash their home router.","","",DNSthingy,network,https://www.dnsthingy.com/
"","","","","",Dolphin Secure,"",""
overlord parent,"","e2guardian is a fork and continuation of DansGuardian.  It is an open source web content filter that filters based on many methods including phrase matching, request header, URL filtering, etc.  Unlike DansGuardian, e2guardian has some support for https filtering, if the necessary authoritative certificates are installed in the browser.",filtering gateway more proxy ratings smarts,"",E2guardian Web filtering,"",http://e2guardian.org/cms/
general addict,free,"A text-only, no-image browser with javascript support, Emergency Browser allows one to use the Internet without images.  It has no built-in app-locking, but it could be paired with a standard app-locking program.",imageless,https://lh6.ggpht.com/q60mGCB7nOoGuqcKLWV8NS3TSbEhZK0QnFcEHcSqRqR6NFVQOn8YCHlwzuzfGevUixg=w300,Emergency Browser,android,https://play.google.com/store/apps/details?id=it.blogspot.fedeveloper
"","",A very small ISP with a mishmash of filtering services for the very conservative.  The SafeSentryPro platform does html filtering.,"","",emypeople.net,"",http://www.emypeople.net/
"","","","","",Enologic Net Filter,"",""
parent,"","",dead timer,"",ENUFF PC,"",http://www.akrontech.com/
parent,free,"",dead,"",eSafely (netspark),browser,http://esafely.com
"","","","","",eScan,"",""
"","","",antivirus,"",ESET Smart Security,"",http://www.eset.com/
"",$7/month,"",monitoring,"",EverAccountable,android windows,http://www.everaccountable.com/
"","","Launched in 2001 and last updated in September 2001, this appears to be a dead project.",dead skin,"",eVision,"",http://www.evisionglobal.com/
"","","",monitoring,"",Family Cyber Alert,"",http://www.itcompany.com/fca
parent,$5/month for 3 devices,"",filtering monitoring,"",Familyloop Safeguard,"",https://www.familoop.com/
"",free to $15,"","","",FB Limiter,windows,http://www.facebooklimiter.com/
developer,"","A free web debugging proxy, this product is aimed at web developers, not general Internet consumers. Fiddler sets itself up as a WinINET Proxy [see http://msdn.microsoft.com/en-us/library/windows/desktop/aa384075(v=vs.85).aspx ], so it intercepts traffic from all applications that use WinINET (IE, Office).  It is more useful for developing a web application and web server; it is not a consumer-oriented filter.","","",Fiddler,"",http://www.telerik.com/fiddler
"","","","","",Filter Pak,"",""
"","","",dead,"",FilterGate,"",""
parent addict,unknown,"",accountability biglist filtering monitoring,"",FilterPak,windows,http://www.s4f.com/products/filterpak
overlord,"","","","",FinFisher,"",""
overlord,"","","","",FlashStart,"",http://www.flashstart.com/
slacker general,$20,"",productivity timer,"",Focus,macosx,https://heyfocus.com/
slacker,"","","","",Focus 45,chrome,""
addict,"free for youth, $39 for adults","Fortify is not a filter, but it is similar enough to warrant inclusion here.  Instead of filtering or monitoring, it aims to educate and support a porn user as he/she moves toward that goal.",other,http://fortifyprogram.org/assets/images/fortify-logo.svg,Fortify,android ios macosx windows,http://fortifyprogram.org/
parent general overlord,free to $15/year,"FoxFilter is an add-on to Firefox and Chrome designed to ""protect children and teens from inappropriate content on the Web.""  It only works in Firefox and Chrome.",filtering keyword,"",FoxFilter,browser,http://addons.mozilla.org/en-US/firefox/addon/foxfilter/
"","","","","",Fragfinn.de,"",""
slacker,$2/month to $7/month,"Formerly called Anti-Social Pro, the software is marketed towareds those seeking to avoid the distractions of the Internet.",filtering timer,"",Freedom,ios macosx windows,https://freedom.to/
general parent,"","",antivirus,"",FSecure,windows,http://www.f-secure.com/en/web/home_global/home
parent,"","",filtering games monitoring timer,"",Funamo,android,https://www.funamo.com/
overlord,"","","","",Gaggle,"",http://www.gaggle.net/
"",$100/year to $125/year,"Supposedly designed with the ""frum"" community in mind.  Yet, it was built in Romania and seems to be sold to employers.",filter image-recognition scuzzy smarts,"",GenTech,android ios,https://gentechsolution.com/
"","","",vapor,"",Geringo,"",https://www.geringo.com/
"","","",dead,"",Gnome nanny,"",""
"","","","","",GodSaves.tk Anti-Porn,browser,https://addons.mozilla.org/en-US/firefox/addon/godsavestk-anti-pornography/
overlord,"","","","",goguardian,"",https://www.goguardian.com/
"","",Go to Play Store Settings. Select Content Filtering. Choose the maturity level as per you choice. -- http://www.lifehack.org/articles/technology/20-google-play-store-tips-and-tricks-you-cant-miss.html,"","",Google Play Store,"",""
"","","","","",Green Dam Youth Escort (Mainland Chinese Government mandated software),"",""
addict,"free, but fines if you view porn","Guard your eyes is an online program, not a true filter.  Users pay fines every time they view porn.",other,"",Guard Your Eyes,"",http://guardyoureyes.com/
"","",A to-do app that helps the user form good habits.  Its tagline is 'gamify your life',accountability,"",Habatica,ios,https://habitica.com/
overlord general,free,Originally developed for Internet Cafes in Turkey.,filtering monitoring,"",Handy Filter,"",http://www.handyfilter.com/
overlord parent,$39-$49,"Activity Forensics is primarily spying software that logs computer use including keystrokes, screenshots, Internet activity, and other data.  It offers rudimentary filtering.",filtering monitoring screenshots spying,"",HomeGuard,windows,http://veridium.net/
"",free to $5,"","","",HostsBlock,windows,http://www.wilderssecurity.com/threads/hosts-block.378901/
"",free,"","","",HostsMan,windows,http://www.abelhadigital.com/hostsman
"","","",monitoring spying,"",IamBigBrother,windows,http://www.iambigbrother.com/
"","","","","",iBoss Home Parental Control Router,network,""
"","","","","",Image and Flash Block,browser,https://addons.mozilla.org/en-US/firefox/addon/image-and-flash-blocker/
"","","","","",Image Block,browser,https://addons.mozilla.org/en-US/firefox/addon/image-block/
"","","",monitoring spying,"",IMView,ios macosx windows,http://imview.com/
"","","","","",iNet Safety Bubble (Mobile),"",""
"",free to $10/year,"",abandoned dead harvester scuzzy,"",iNetClean,"",https://inetclean.com/
"","","",dead,"",Integard,"",""
"","","","","",Intego IS Barrier X6 (Mac),"",""
"",$5/month,"","","",Integrity Buddy,"",https://integritybuddy.com/
"","","","","",Integrity Online,"",http://www.integrity.com/
slacker,"","",timetracking,"",Intent,chrome,https://browsewithintent.com/
"","","",dead,"",Internet 4 Families,"",""
"",free,"",timer,"",InternetOff,windows,http://crystalrich.com/internetoff/
"","","","","",iOS Parental Controls (Mobile),"",""
"","","",filtering,"",iProtectYou,windows,http://www.softforyou.com/ip-index.html
parent addict,$25,"",accountability filtering monitoring smarts,"",iShield,windows,http://www.guardwareinc.com/ishield.php
"","","","","",Jusprog,"",""
overlord parent general addict,free for personal use,"Sold to companies for overlord-style filtering, Blue Coat (now part of Symantec) allows free use of the filter for individuals looking to protect themselves or their family.  It is configured using an administrative password.  The k9 administrator can view all previous internet activity in addition to changing which categories to block and which features to enable.",biglist countermeasures filtering monitoring password timer,http://www1.k9webprotection.com/sites/default/files/k9_logo.png,K9 Web Protection,android ios macosx windows,http://www1.k9webprotection.com
"","","",antivirus,"",Kapersky Internet Security,"",""
"","","","","",Kapersky Safe Kids,"",""
"","","",antivirus,"",Kaspersky,"",http://usa.kaspersky.com
"","","","","",Kaspersky Pure,"",""
"","","",dead,"",KaZipster,"",""
parent,"","","","",KidoZ,"",http://kidoz.net/
"","","",hide,"",kidrex,"",http://www.kidrex.org/
parent,"","",browser,"",KidRocket,"",http://kidrocket.en.softonic.com/
parent addict general,"","",filtering monitoring,"",Kids Place,android,https://play.google.com/store/apps/details?id=com.kiddoware.kidsplace
parent,"","","","",KidsWatch,"",http://www.kidswatch.com/
parent,"","",dead,"",KidZui,"",http://www.kidzui.com/
"","","","","",Kinderserver,"",""
"",free,"",accountability monitoring,"",Knas Based Accountability,macosx windows,http://venishmartem.com/exclusives/kba
"","",Project seems to have died in 2011,abandoned hide,"",Kurupira,"",http://kurupira.net/
"","","","","",LeeckBlock,browser,http://www.proginosko.com/leechblock.html
overlord,"","","","",LG Gate,android,http://www.lg.com/us/business/enterprise-mobility
antiad hermit,$1,An Android browser with built-in ad-blocking.,"","",Lightning Web Browser,android,https://play.google.com/store/apps/details?id=acr.browser.lightning
"","",Little Browser reduces data utilization by displaying only readable content from webpages and by not downloading extraneous contents like scripts and images.,"","",Little Web Browser,android,https://play.google.com/store/apps/details?id=com.weejim.app.lynx
"","","",filtering hardware mimetypes network smarts timer,"",livigent,"",http://www.livigent.com/
parent,"","Mac OS X Parental Controls can operate in three modes: unrestricted, automatic, and whitelist.",filtering monitoring ratings smarts,"",Mac OS X Parental Controls,macosx,https://support.apple.com/en-us/HT201813
"","","","","",Magic Desktop,"",""
slacker,free to $67,"",timetracking,"",ManicTime,android linux mac windows,https://www.manictime.com/
"","","","","",McAfee All Access,"",""
"","","",filtering monitoring,"",McAfee Family Protection,windows,http://home.mcafee.com/store/family-protection
"","","","","",McAfee IS,"",""
parent,"","",filtering monitoring,"",McGruff SafeGuard,windows,http://www.gomcgruff.com/
"","","","","",Meine Startseite.de,"",""
"",$5-$15/month,"",pixelation scuzzy,"",Meshimer,Windows,https://www.meshimer.com/
"","","",dead,"",Microsoft Forefront Threat Management Gateway,network,""
parent,free,"",filtering games timer,"",Microsoft Parental Controls,windows,http://windows.microsoft.com/en-us/windows/set-parental-controls
"",free,"",social,"",MinorMonitor,"",http://www.minormonitor.com/
"","","","","",MMGuardian,android ios,http://www.mmguardian.com/
"",free to $40/year,"",filtering monitoring,"",MobiCIP,android chromeos ios kindle macosx nook windows,http://www.mobicip.com/
"","","","","",Mobiflock,"",""
"","","","","",Mobile Parental Filter,"",""
parent,"","",games monitoring timer,"",MobileMinder,android,http://mobileminder.com/
"",$10,"","","",ModemLockDown,windows,http://www.modemlockdown.com/
"","","","","",Mybee.nl,"",""
parent,"","",filtering monitoring spying,"",MyKidisSafe,android ios,http://www.emobilesecurity.com/MyKidIsSafe.html
hermit,free,"A browser that uses a privacy-conserving configuration, Naked Browser seems to have been written for the author's own use and then shared with the world.","","",Naked Browser,android,https://play.google.com/store/apps/details?id=com.fevdev.nakedbrowser
"",$10/month to $14/month,"Kosher Internet, uses Seimen technologies",filter scuzzy skin-shading smarts,"",NativUSA,windows,http://www.usanativ.com/
parent spouse addict,free to $15/month,"Net Angel sells home routers that have e2guardian pre-installed.  Whenever a website is blocked, a text message is sent to a phone number.  As of 2016-11-11, the company also has beta-quality iOS and Android apps that will feature similar techniques.","","",Net Angel,network,https://www.netangel.com/
parent,$13 to $40/year,"",accountability biglist filtering monitoring social timer,"",Net Nanny,android macosx windows,http://www.netnanny.com/
addict,free,"Net Responsibility monitors Internet usage and sends e-mail reports to accountability partners.  Must be compiled from source on Mac OS X and Ubuntu 14.10 or above (see <a href=""http://forum.netresponsibility.com/discussion/159/can-t-install-on-ubuntu-14-10"">this thread</a>).  A build script can be found <a href=""http://www.pluckeye.net/net-responsibility/build.sh"">here</a>.",abandoned accountability monitoring opensource,http://www.netresponsibility.com/img/soap2.png,Net Responsibility,linux macosx,http://www.netresponsibility.com/
"","","","","",NETBLOX,network,""
"","","","","",NetDefend,"",http://security.dlink.com.tw/netdefend_wcf.asp
"",$25,"","","",NetDog Porn Filter,windows,http://www.netdogsoft.com/
"","","","","",Netgear Live Parental Controls,network,""
parent,"","","","",NetGenie,network,http://www.netgenie.net/global/
"","","","","",Netintelligence,"",http://www.netintelligence.com/
overlord parent,$75/month,"","","",netsentron,network,http://www.netsentron.com/
"","","","","",Netsweeper,"",https://www.netsweeper.com/
"","","",motivate,"",NoFap Panic Button,browser,https://addons.mozilla.org/en-US/firefox/addon/nofap-panic-button/
"","","","","",Norman,"",""
"","","","","",Norton ConnectSafe DNS Server,network,https://dns.norton.com/
parent general addict,free to $50,"Norton Family has free and paid offerings, both of which are aimed at parents who want to know what their children are doing online.",accountability monitoring,http://safeweb.norton.com/images/global/norton-icon.png,Norton Family,android ios macosx windows,http://onlinefamily.norton.com/
overlord general parent,free to $$,"A DNS-based filter and monitor, similar to OpenDNS, but with user-authentication capability for user-specific rules.",biglist dns filtering monitoring,"",NX Filter,network,http://www.nxfilter.org/
"",free to more,"",games monitoring timetracking,"",offtime,"",https://offtime.co/
overlord,"","","","",opendium,"",http://www.opendium.com/
general parent,free to $20/year,"Free for home use, OpenDNS is both easy-to-use and popular.",dns filtering monitoring,"",OpenDNS,android ios linux macosx network windows,http://www.opendns.com/
parent addict,$40,"",filtering monitoring smarts timer,"",Optenet,windows,http://www.optenetpc.com/
"",$2,"","","",Override DNS,"",https://play.google.com/store/apps/details?id=net.mx17.overridedns
"","","","","",Panda,"",http://www.pandasecurity.com/usa/homeusers/solutions/internet-security/
"","","","","",Parental Control Bar,"",http://www.wraac.org/
"",free or donate,"",filtering password,"",Parental Controls and Web Filter from MetaCert,browser,https://addons.mozilla.org/en-US/firefox/addon/metacert/
parent,$25/year,"Parenteeno monitors what the user (i.e., child) does on the target device and sends the data to the Parenteeno servers where reports are prepared for parental review.  The product is created by 2 dads in Dublin and the product page says it is all about protecting children from ""cyberbullying, sexting, predators and other menace.""",keystrokes monitoring screenshots social spying,"",Parenteeno,android windows,http://www.parenteeno.com/
spouse addict parent,$60/year,"",abandoned dead filtering mia monitoring screenshots scuzzy spying,"",Partner Guard,windows,http://www.partnerguard.com/
parent,"","",abandoned dead mia monitoring spying,"",PC Pandora,"",http://www.pcpandora.com/application/parental/
overlord parent,"","","","",PC Tattletale,"",https://www.pctattletale.com/
parent,$25,"","","",PeanutButterPC,windows,http://www.peanutbuttersoftware.com/
overlord,$30,"",filtering monitoring,"",Pearl Echo,windows,http://www.pearlsoftware.com/
general slacker,free,"","","",Personal Blocklist,chrome,https://chrome.google.com/webstore/detail/personal-blocklist-by-goo/nolijncfnkgaikbjbdaogikpmpbdcdef
overlord,"","",opensource,"",pfSense,network,https://www.pfsense.org/
parent,free,PicBlock is one of the few filters that attempts to detect skin tones.  The project was last updated in 2011.,abandoned hide pixelation smarts,"",PicBlock,windows,http://picblock.software.informer.com/download/
parent,free,"",abandoned,"",Picture Blocker,Firefox,https://addons.mozilla.org/en-US/firefox/addon/picture-blocker/
parent,$1,Requires user play a certain amount of educational games to unlock other apps.,games timer,"",Play This 2 Play That,android,https://play.google.com/store/apps/details?id=com.playthis2playthatdemo
addict,free to $15 / month,"Customizable, but blocks all images from the internet by default.  Its delayed-configuration system is designed to bolster self-control on the Internet.  Pluckeye on Android is a text-only browser with fewer features than desktop Pluckeye.",changedelay filtering mimetypes monitoring opensource-contrib timer,http://www.pluckeye.net/p64.svg,Pluckeye,android linux macosx windows,http://pluckeye.net/
general hermit,free,"",filtering mimetypes,"",policeman,browser,https://addons.mozilla.org/en-US/firefox/addon/policeman/
"","","","","",Porn Blocker,ios macosx safari,http://www.pornblocker-app.com/
"","","",junk,"",Porn Terminator,"",""
hermit general parent,free,"Privoxy is a non-caching web proxy designed to enhance privacy, control access, and remove ads.",proxy,"",Privoxy,linux macosx network windows,http://www.privoxy.org/
addict,"","","","",ProblemPoker,"",http://www.problempoker.com/
parent general addict,"","A Firefox extension, the ProCon Latte Content Filter blocks (usually containing pornography) based on simple keyword lists.  It supports password protection, and it can be configured to only allow whitelisted sites.",filtering keyword opensource password profanity,https://addons.cdn.mozilla.net/user-media/addon_icons/1/1803-64.png?modified=1455250182,ProCon Latte Content Filter,browser firefox-56,https://addons.mozilla.org/en-US/firefox/addon/procon-latte/
"","","","","",Profil Parental Filter 2,"",""
parent,"","",filtering monitoring,"",Protectr,android,http://www.r3app.com/protectr
"",free but prompts user to install AdBeaver adware,"Public Fox can block downloads, prevent browser changes, lock down addons, bookmarks, and more, block unwanted web sites.",filtering password,"",Public Fox,browser,https://addons.mozilla.org/en-US/firefox/addon/public-fox/
parent,"","",filtering monitoring timer,"",PureSight,windows,http://www.puresight.com/
parent overlord general addict,free or $45/year,"Qustodio appears to be a complete filtering/monitoring package.  Aimed primarily at parents and schools, it boasts that its ""smart internet filters scans web content in real time"".  There are some rumors it hampers the Internet experience of folks who have slow Internet connections.",filtering locationtracking monitoring smarts spying timer,http://www.qustodio.com/wp-content/pad/qustodio-icon.gif,Qustodio,android ios macosx windows,http://www.qustodio.com/
"","","Designed for accountability, recoveryBox, the iOS Mobile App for Addiction Recovery, is an iOS app toolset that facilitates tracking of daily life activities and gaining insight into why you do what you do.  Similar to R|Tribe.","","",recoveryBox,ios,""
slacker,free to $9 / month,"",filtering timetracking,"",Rescuetime,android linux macosx windows,https://www.rescuetime.com/
parent,free to $20/month,"",filtering monitoring,"",Router Limits,network,https://routerlimits.com/
addict,free to $6/month,"R|Tribe is an app for mobile devices that attempts to assist users in ""interrupting the addiction cycle.""  Through in-app connections to friends (i.e., reports), and self-tracking of recovery, the user gains knowledge about their own addiction cycle and is assisted in finding ways to break it.",accountability monitoring,"",R|Tribe,android ios,http://www.rtribe.org/
"","","","","",Safe Access,windows,http://www.safeaccess.com/
"","","","","",Safe Browser,"",""
"","","",dead,"",Safe Chat,"",""
parent addict general,$50 for 3 computers,"<a href=""http://www.covenanteyes.com/2013/01/15/tribute-to-safe-eyes-support/"">Dead as of 2013</a>.",ailing dead filtering historic monitoring timer,http://www.internetsafety.com/graphics/se/SE_RGB_Logo.jpg,Safe Eyes,macosx windows,http://www.internetsafety.com/safe-eyes-parental-control-software.php
"","","",dead,"",Safe Families We-Blocker 2.1,"",http://www.safefamilies.org/download.php
parent overlord,$20/year,"",filtering,"",SafeDNS,network,https://www.safedns.com/
overlord,$10/user/year or $5/CPU hour,"Designed for organizations, the minimum system requires for SafeSquid are 2GB of ram and 2 CPU cores.",gateway,"",SafeSquid,network,http://www.safesquid.com/
parent,free with registration or pay what you want,A DNS service for families with children.  The service is pay what you want with registration.,dns filtering,"",Safesurfer,android network,http://www.safesurfer.co.nz/
overlord,"","","","",Samsung Knox,android,https://www.samsungknox.com/
overlord,"",Perfect for the scientologist overlord.  Merely amusing for all others.,dead,"",Scieno Sitter,"",""
parent,"","",monitoring timer,"",Screen Time,android,https://play.google.com/store/apps/details?id=com.screentime
parent,"","","","",ScreenRetriever,"",http://www.screenretriever.com/
"","","",dead,"",Secure Web SmartFilter EDU,"",""
parent,$40 / year,"",filtering games monitoring,"",SecureTeen,android ios windows,https://www.secureteen.com/
"","","","","",Security Shield,"",""
general slacker,"",The purpose of the program is to block access to certain web sites (Blacklist) for a period of time with no easy way to unblock access.  It was last updated in 2010.,abandoned filtering iptables opensource timer,"",SelfControl for Linux,linux,http://svn.jklmnop.net/projects/SelfControl.html
general slacker,"","SelfControl is an open source project, the purpose of which is to allow the user to block access to websites (or mail servers) for a predetermined period of time.",ailing filtering iptables opensource timer,http://selfcontrolapp.com/img/logo.png,SelfControl for Mac,macosx,http://selfcontrolapp.com/
general slacker,"",SelfRestraint is a cross platform application which blocks access to websites for a predetermined period of time.  It was inspired by SelfControl.,filtering iptables timer,"",SelfRestraint,linux macosx windows,https://github.com/ParkerK/selfrestraint/
"","","",dead skin,"",SightSim,"",http://www.sightsim.com/visual_content_filter.html
general,"",Silent Block is a Firefox addon that uses url regular expression to whitelist or blacklist sites.,"","",Silent Block,browser,https://addons.mozilla.org/en-US/firefox/addon/silentblock/
parent,"","",monitoring,"",Smobile Sentry,android ios,http://mobilesentry.net/
"","","",monitoring spying,"",SniperSpy,macosx windows,http://www.sniperspy.com/
"","","","","",Soft Eyes,"",http://www.softeyes.com/
"","",SPIN is a browser with built-in filtering.  It has 4.2 stars in the Android store.,filtering,"",SPIN Safe Browser,android,http://nationaledtech.com/
"","","",monitoring spying,"",SpyAgent,windows,http://www.spytech-web.com/
parent,$49,"",filtering monitoring screenshots spying,"",Spysure,"",http://www.kjbsecurity.com/products/detail/spysure-parental-control-software/383/
"","",Squidblacklist (SBL) is a publisher of blacklists for web filtering platforms.,biglist,"",Squidblacklist.org,"",http://squidblacklist.org/
parent general overlord,free,A URL redirector that can be used with the Squid proxy and that supports large blacklists (altough DansGuardian claims to be significantly faster).  It has seen very little modification in recent years.,abandoned biglist gateway,"",SquidGuard,network,http://www.squidguard.org/
general slacker,"","StayFocusd is a Chrome plugin that can block ""time wasting"" websites.  It only works in Chrome.",filtering timer,"",StayFocusd,browser chrome,https://chrome.google.com/webstore/detail/stayfocusd/laankejkbhbdhmipfmgcngdelahlfoji
"",$40,"",accountability filtering hide monitoring timer,"",Stop P-O-R-N,windows,http://www.pbsoftware.org/id22.html
"",free or donate,"","","",Stop-it,browser,https://addons.mozilla.org/en-US/firefox/addon/stop-it/
"","",A to-do app that helps the user form good habits.,"","",Streaks,ios,http://streaksapp.com/
"","","","","",Strict Workflow,chrome,""
"","","","","",SureLock,android,https://www.42gears.com/blog/lock-safe-mode-android-devices/
"","","","","",Surfgarten,"",""
"","","",dead,"",SurfontheSafeside.com (SOS),"",""
overlord,"","","","",SurfPass,"",http://www.cogilab.com/en/default/
"","","",dead historic,"",SurfWatch,"",""
overlord,"","","","",SurveilStar,"",http://www.surveilstar.com/
"","","","","",Telekom Kinderschutz Software,"",""
